,09A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,App_Amps,Coulombs
0,26.012032656660683,26.395501193897054,18.301242344305678,18.526088145294924,0.4721410855458933,0.518187894179842,-0.07366593776659808,-0.07977959794681627,-1.392232245040381,-1.5377826558951195,0.5615931860919389,0.516796979477792,1.1347779563836289,1.088307465044539,0.9639455336587276,1.0116083678405148,0.24418634583154747,0.26593091529863183,0.1243654881876723,0.14787924682491776,0.06648032487155665,0.05783387957586447,0.12069649190723904,0.12125148528389282,0.29944556476129686,-0.06439677457490353,0.44967571400826817,0.21458829077390493,1.1323009394105943,0.5337728631974819,0.08962420003468895,-0.1604829818780319,0.28197266006324173,3.1849033990476836,0.21935975918635714,0.39332993364435964,100.14148011718859,200.28296023437719
2,45.30847755588114,46.07464224659819,26.41357039945067,26.9698903567872,-0.2514571061286124,-0.270465120020146,-0.8400114325196861,-0.6951215579056363,-0.7320529654461597,-0.840511374751826,0.63499087786644,0.5883235019050564,0.7195900462129272,0.6888697050484451,0.5134696668979835,0.5456723926156484,0.11826720194043636,0.12511253078138845,0.08051010749088522,0.09134321233379422,0.05187603703566995,0.045850973880380175,0.05648901243257179,0.055511600123108684,0.12904926383696708,-0.03585654460362242,0.19488014549516708,0.09120891210691492,0.49993230675291356,0.23350065225240912,0.03583188115238467,-0.07568573076364912,-0.1481612127140549,1.7269452125905564,0.0546340063856042,0.15662683050673537,148.31574359150818,496.91444741739355
4,58.17228386688356,58.78792838006017,38.57163958953747,39.40342751104362,-0.7727519314807934,-0.8612501309450415,-1.1316365021815367,-0.9014013452642453,-0.3208766469252784,-0.40556438745241463,0.6342635390022033,0.5868180172433757,0.33987183935236853,0.31911936848387645,0.13492781893620398,0.1527226459996318,-0.008654178385844591,-0.012983793489069861,0.027692691857584162,0.0324859614792643,-0.004582735221744683,-0.007100294289343778,-0.00868263632440075,-0.010239869184024919,-0.02106888762916126,0.004964968423705474,-0.06000956160834381,-0.0336078180803947,-0.1300974767252674,-0.06630781083051285,-0.017577810476947536,0.007249871996178325,-0.07385655407745784,0.660926444573561,-0.14386243572556334,-0.07436607706976528,192.7698436315056,882.4541346804048
6,57.53638429583195,58.01783912951302,40.45555432427736,41.23006956655291,-0.6459840954100544,-0.7255830717454348,-0.8878553223021699,-0.7041659026935118,-0.26320288408309933,-0.33235553894283987,0.520462053404708,0.48309774375299064,0.27674583963075694,0.2594399214047529,0.1079286170142959,0.12259099885092617,-0.0069706427086903,-0.010227678044677613,0.02216641699234323,0.02705518614385949,-0.009091291161298365,-0.010855820702107888,-0.007918720112978034,-0.008993900346249917,-0.01686465245309532,0.005939084311473719,-0.052184770461905394,-0.029107660483031927,-0.11402358783078981,-0.05790316419636077,-0.014738529194243039,0.006804230395878741,-0.06891248603723277,0.523744190597716,-0.1258657481381278,-0.06377188945945078,195.4392442421676,1273.33262316474
8,57.52637921465386,57.90897007249264,42.2282161549946,42.94727203622237,-0.5601228638931648,-0.6339591613967972,-0.7010759356323781,-0.5568767417888074,-0.1563285402440271,-0.20701630975603624,0.41237433861097283,0.3859644433769809,0.20064253344019178,0.1880515938039924,0.06251417523129188,0.0736812422412303,-0.00618209625315802,-0.009165783583195752,0.01879860782556486,0.023114262664527985,-0.006464970279873583,-0.007526928670548827,-0.007677961671351097,-0.008358341720189788,-0.017981311161294977,0.004777643787813202,-0.046851060363271246,-0.025535542695511948,-0.10469510885224853,-0.05280867098295694,-0.012948113894717728,0.007012140528848687,-0.12739202460852717,0.32286538246371954,-0.10614531031624597,-0.05673235116738162,198.898788713407,1671.130200591554
10,58.18209866408428,58.471647496096715,44.00419668967838,44.680587313427615,-0.5432335432416382,-0.6394042444154593,-0.5603242547253889,-0.44332296203698485,0.00753993969189537,-0.022801270840363763,0.3195643986552561,0.30629814627335517,0.10877545345837536,0.10268463038970577,-0.005856897972867259,0.001668353309184134,-0.0019054296826530592,-0.005770916735002185,0.024772170806682148,0.02981697012596296,0.006771928417672157,0.0065560164067881566,-0.008280154702167863,-0.008375057347053017,-0.025637713457124178,-0.00023711140161097877,-0.03946028546548419,-0.019725323006339668,-0.09555677395855056,-0.048719627329919524,-0.01321652808422713,0.005123250494701526,-0.28698882499469036,0.04786291949742072,-0.09273693585454823,-0.05391191357421454,203.39049857198768,2077.9111977355296
12,58.713598997076005,58.968304920235845,45.47262037877219,46.089579996225986,-0.4197637442452491,-0.4848243320712555,-0.3819329185282557,-0.30887333087402113,0.11268156122192519,0.10316804738380458,0.1964221146349594,0.19298012358943772,0.028372239018570333,0.02678922802821848,-0.05042787233013524,-0.04700497960903505,-0.006121017833388809,-0.009295423749632326,0.012659748967798645,0.0148784551276262,0.004251300473735675,0.004626952622472924,-0.008303616164351602,-0.008267879362035435,-0.026091028793404192,0.0011526265550283465,-0.039950742518059634,-0.01998059906485916,-0.09684562636570426,-0.04786656048394056,-0.010867914394840972,0.008641136435243335,-0.33200746464427944,-0.1793909057537153,-0.06394391215510165,-0.0469982138866295,207.36196974354093,2492.6351372226113
14,57.88097851288329,57.98077383834073,47.781196284917854,48.31809566965336,-0.4682852186658124,-0.5365369634034121,-0.33702549646189095,-0.29067062463249815,0.3165607198805507,0.32784310149329876,0.12056194413062382,0.12970631725109438,-0.05379975285042082,-0.04872148022552114,-0.12754960871065268,-0.12706637338277815,-0.005961263533217576,-0.011056453776397746,0.019883426794338632,0.020977252180515826,0.02965288359643381,0.030315478530361428,-0.007553077917725415,-0.007376709362766964,-0.03858133392635166,-0.007873887907254407,-0.03712298402965608,-0.016839054463942293,-0.09267304408616539,-0.045898539804223315,-0.011644257420436399,0.007811103107755901,-0.4468208449937894,-0.39387417496915056,-0.04518334577549621,-0.046704859022869694,209.7595371834378,2912.1542115894867
16,56.82956247170263,56.75646897466483,50.35687924735501,50.7999395648667,-0.6113540154224326,-0.6892682212353343,-0.3975433113990611,-0.3676643637106295,0.597219526927045,0.6318978707739173,0.06552923557399648,0.08859925210452602,-0.1448713383191711,-0.13146821040460477,-0.2306317511589855,-0.2329181730522656,-0.006414821377818125,-0.015027858216393408,0.034221121011092315,0.03359896840320964,0.0713485424023057,0.07203528462583275,-0.006652707336687325,-0.00651824369378301,-0.05976864712579544,-0.022421061686390464,-0.03654394089850843,-0.014205538122642913,-0.09359648592008041,-0.0467377173130179,-0.014134160957832043,0.00667552049827691,-0.6208027540552354,-0.6426892066841479,-0.026032483742289614,-0.05157977677089731,211.87513079230538,3335.9044731740973
18,52.856796749698674,52.78051528386976,48.86910995651978,49.120553853462404,-0.6111480941933545,-0.6730034974640695,-0.2883265732393405,-0.2928760761227224,0.6956149082823435,0.7479773782840748,-0.054143566023287626,-0.0244795793627528,-0.18324981833494913,-0.16594637201658902,-0.2465948501633628,-0.2507764250866007,0.03603454669951223,0.028131408344664877,0.06629053617246328,0.06732831918139937,0.11953911222193003,0.12012576963213917,0.008344191867834416,0.009145350548965037,-0.03944125130452347,-0.04450819717407639,0.04658015725860043,0.03204424375526704,0.0896334486415995,0.03963401559392832,-0.0016667217119952782,-0.019591933089036395,-0.6189736876141474,-0.690777784633978,0.05164667828078773,0.011082571714795375,201.59062405249614,3739.0857212790897
