,Front_A,Roof_A,RHWing_A,LHWing_A,Rear_A,Front_As,Roof_As,RHWing_As,LHWing_As,Rear_As,Eff_Amps,App_Volts,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
0,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,4.784918789507188,0.0,0.6794501372189075,1.4862573887409098,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
2,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,9.569837579014376,0.0,1.358900274437815,2.9725147774818197,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
4,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,14.354756368521564,0.0,2.0383504116567224,4.4587721662227295,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
6,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,19.13967515802875,0.0,2.71780054887563,5.945029554963639,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
8,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,23.92459394753594,0.0,3.3972506860945373,7.431286943704549,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
10,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,28.709512737043127,0.0,4.076700823313445,8.917544332445459,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
12,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,33.494431526550315,0.0,4.756150960532352,10.403801721186369,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
14,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,38.2793503160575,0.0,5.43560109775126,11.890059109927279,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
16,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,43.06426910556469,0.0,6.115051234970167,13.376316498668189,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
18,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,47.84918789507188,0.0,6.794501372189075,14.862573887409098,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
20,2.392459394753594,0.0,0.33972506860945373,0.7431286943704549,0.0,52.634106684579066,0.0,7.473951509407982,16.34883127615001,0.0,3.4753131577335026,0.0,0.0,0.0,0.0,0.0,0.0
