BPOS,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,79,158,12.50568326,22.91033962,14.15968834,14.11978584,15.30450294
27,154,466,20.48099375,36.62770382,23.18981557,23.12446585,50.57702101
28,177,820,15.74325658,28.3577413,18.27733327,18.2258271,96.39584175
29,182,1184,8.127715928,14.45483339,9.250955709,9.224886188,140.9416088
30,186,1556,6.541509313,10.84267331,7.121818384,7.101748848,154.3922501
31,186,1928,5.591743763,9.634277903,6.087797421,6.070641792,158.6155391
32,186,2300,5.222686288,9.14139725,5.676321895,5.549339038,160.4102555
33,199,2698,5.51460146,9.797030672,5.98379898,5.966936423,171.7376325
34,211,3120,5.975970592,11.01178007,6.596398574,6.334187108,181.0816637
35,211,3542,5.957901713,11.70530134,6.962110016,6.446598361,179.9280886
36,211,3964,5.940610074,12.50395197,6.76689788,6.631486651,179.1570534
37,211,4386,5.670426019,13.8005334,6.415825178,6.292864088,178.8203513
38,227,4840,6.168466446,23.77656508,7.15396884,6.809544671,183.091455
39,268,5376,7.077651828,36.70622058,8.651082169,8.26725715,207.2977883
40,270,5916,7.2520772,44.0110366,9.526279692,8.668233797,200.5423727
41,275,6466,6.698019006,47.66777737,9.748776363,8.676002464,202.2094248
42,280,7026,7.109769448,53.64646061,11.83531808,9.601599239,197.8068526
43,313,7652,7.853270225,61.25669861,20.84477315,11.86372572,211.1815323
44,321,8294,7.554046068,60.28725749,39.70153154,16.78533392,196.671831
45,330,8954,7.937621101,59.00425212,49.67131552,36.09143371,177.2953776
46,340,9634,8.804377926,59.86715908,57.04091685,47.52809592,166.7594502
47,351,10336,11.34867146,60.23440429,60.77216218,53.44531143,165.1994506
48,362,11060,17.15020017,61.01263313,63.200584,57.35162834,163.2849544
49,373,11806,23.09005124,63.84569187,67.44524292,62.54050085,156.0785131
50,387,12580,30.73678633,66.83009503,71.32370324,67.1896574,150.919758
51,400,13380,40.76823555,67.99834243,72.48173684,69.25753029,149.4941549
52,414,14208,53.46567007,69.38091956,74.6193031,72.31299444,144.2211128
53,426,15060,66.38358989,70.59148294,76.43462268,75.12254767,137.4677568
54,441,15942,78.04365853,72.64679907,77.24434206,76.54332574,136.5218746
55,466,16874,88.57628768,77.51674983,78.85178971,78.40896085,142.6462119
56,470,17814,92.25166763,79.12381446,78.43209326,77.99477717,142.1976475
57,463,18740,90.54523613,78.74619141,77.60240224,77.42595594,138.6802143
58,454,19648,90.47107516,78.33824455,75.54169588,75.12400752,134.5249769
59,437,20522,87.04980065,76.95122159,73.0028172,72.03442015,127.9617404
60,430,21382,83.82316519,77.33772097,73.51357901,72.04064083,123.284894
61,428,22238,82.18840165,77.75480948,75.03449614,73.1571613,119.8651314
62,426,23090,58.70403273,78.49796414,78.45292297,75.09441711,135.250663
63,424,23938,61.80227533,78.26445008,80.49551432,77.15954362,126.2782167
64,373,24684,57.35010634,69.27503336,72.39098736,69.56200564,104.4218673
65,381,25446,61.97417955,71.13354717,74.89459103,72.27534817,100.7223341
66,388,26222,66.01440374,72.65327638,76.33195085,74.09214838,98.90822065
67,393,27008,69.52026846,73.19008856,76.48211323,74.72613844,99.0813913
68,396,27800,72.22067459,73.00341913,76.17489974,75.15459731,99.44640924
69,401,28602,74.95743096,73.51914477,76.35148339,75.90551865,100.2664222
70,398,29398,76.66676256,72.56216791,74.85608529,74.92470799,98.99027626
71,394,30186,77.88003489,71.55329237,73.65412507,73.9856225,96.92692517
72,390,30966,78.40217822,70.70390394,72.94010665,73.30747696,94.64633424
73,385,31736,79.1004329,69.53697548,72.17566131,72.44609764,91.74083266
74,377,32490,79.21762041,67.4800759,70.63253331,70.97948437,88.69028601
75,371,33232,81.1536118,65.1516596,68.53275149,69.1562461,87.00573102
76,365,33962,82.57061135,64.34317252,65.81122914,66.58500663,85.68998036
77,365,34692,83.97318869,65.77988941,64.93815724,65.51225278,84.79651189
78,366,35424,82.7582248,66.77446266,65.52132069,65.88392751,85.06206433
79,361,36146,80.75568748,66.43153527,65.52827313,65.7171376,82.56736652
80,352,36850,78.27898579,65.16454689,65.12706209,65.16871734,78.26068789
81,348,37546,76.7944944,64.73729972,65.9806551,65.81675368,74.67079711
82,345,38236,75.87111482,64.56198202,66.82573577,66.55076383,71.19040356
83,340,38916,74.94987561,64.04481935,67.01160657,66.73772219,67.25597628
84,335,39586,72.99450298,62.69562988,65.59365693,65.34735648,68.36885373
85,329,40244,70.93655989,61.01353989,63.65077482,63.43215211,69.9669733
86,343,40930,74.55797349,63.64758506,66.3739922,66.22754098,72.19290827
87,337,41604,73.05157206,61.99923774,64.68242207,64.63696321,72.62980492
88,332,42268,72.64536354,60.90661451,63.70571791,63.77494008,70.96736396
89,329,42926,72.37852582,60.08282951,62.96248686,63.12321643,70.45294138
90,324,43574,71.49977469,58.95881276,61.89970602,62.09224591,69.54946062
91,319,44212,69.43735714,58.05165219,61.11430016,61.34003744,69.05665307
92,313,44838,67.63682976,56.77497898,60.09816617,60.40767032,68.08235477
93,299,45436,65.14988757,53.95304146,57.28436141,57.62919142,64.98351815
94,298,46032,64.7196129,53.92693432,57.11823389,57.42910808,64.80611082
95,295,46622,64.09303241,53.38518319,56.4526615,56.77105871,64.29806419
96,293,47208,63.74389489,53.1575986,55.95823048,56.30751848,63.83275755
97,291,47790,63.29130124,52.79373084,54.95624222,55.41857933,64.54014637
98,288,48366,62.93212793,52.5429044,53.94576817,54.37425515,64.20494435
99,289,48944,63.66611546,53.11859667,53.76151295,54.04599614,64.40777878
100,288,49520,63.58624653,53.33715322,53.39576893,53.5820903,64.09874102
101,287,50094,63.23395059,53.43283794,53.31463619,53.33943356,63.67914172
102,285,50664,62.37028552,53.31788142,53.27899988,53.16024853,62.87258465
103,284,51232,61.55728299,53.29535072,53.64568356,53.41679965,62.08488308
104,284,51800,60.78291501,53.47938612,54.26120384,54.01553677,61.46095827
105,282,52364,55.4920942,53.72158292,55.11892405,54.89994486,62.76745397
106,281,52926,51.92326306,53.96257962,56.03367655,55.94001515,63.14046563
107,248,53422,47.0489928,47.41004818,49.51597162,49.51505383,54.50993356
108,255,53932,49.68228007,48.5750879,50.78926597,50.8004207,55.15294536
109,259,54450,51.64963982,49.21457332,51.35182599,51.34790965,55.43605122
110,260,54970,52.89779156,49.23311352,51.37001042,51.28120121,55.21788328
111,261,55492,53.67767764,49.16980952,51.17699307,51.06051723,55.91500254
112,262,56016,54.54707698,49.21230993,51.18408316,51.0536653,56.00286464
113,261,56538,54.84250118,48.87758026,50.73303559,50.69951119,55.84737178
114,261,57060,55.17312966,48.74778043,50.5840874,50.5370212,55.95798131
115,259,57578,54.97187208,48.25598981,50.10193423,50.06882686,55.60137702
116,257,58092,54.72981643,47.7357396,49.66010174,49.66749937,55.20684287
117,255,58602,54.51405622,47.26842247,49.17786355,49.26520481,54.77445295
118,253,59108,54.34004731,46.91882286,48.62692382,48.79295325,54.32125276
119,252,59612,54.2798838,46.83619114,48.16877008,48.42674213,54.28841286
120,250,60112,54.04375786,46.69662842,47.4614786,47.78595193,54.01218318
121,249,60610,53.9500983,46.75831738,46.95810819,47.27024437,54.06323175
122,247,61104,52.68411713,46.62713003,46.49958717,46.75929589,54.42986978
123,249,61602,53.13106062,47.25624066,46.9699484,47.13858136,54.50416896
124,247,62096,52.47639466,47.02437379,46.83257767,46.89315514,53.77349873
125,246,62588,51.81643193,46.91743271,47.03327537,47.02811235,53.20474764
126,246,63080,51.36898697,46.99875029,47.47950155,47.44662606,52.70613513
127,246,63572,50.9109421,46.94525895,47.83751442,47.91583303,52.39045149
128,246,64064,50.83595275,46.95096177,48.08926522,48.17841415,51.94540611
129,247,64558,51.07737439,47.15018503,48.4069161,48.5065149,51.85900958
130,246,65050,51.01829774,46.97173778,48.21916039,48.31758903,51.47321505
131,245,65540,51.09022586,46.77279847,48.02515148,48.13502644,50.97679775
132,244,66028,51.15498214,46.60486169,47.85028403,47.92273962,50.46713252
133,243,66514,50.96153054,46.26932049,47.4280706,47.48735661,50.85372176
134,242,66998,51.02044093,46.0982093,47.17646275,47.22311892,50.48176811
135,242,67482,49.89136533,46.2942424,47.3852932,47.34863677,51.0804623
136,241,67964,50.12819466,46.14455625,47.14980595,47.06479052,50.51265263
137,233,68430,48.76312622,44.57953418,45.56807146,45.46264898,48.62661915
138,234,68898,49.17160767,44.74848525,45.77094588,45.68792544,48.62103576
139,233,69364,49.09801317,44.54063976,45.61157379,45.51722796,48.23254532
140,230,69824,48.54748184,43.97735871,45.03272284,44.97321145,47.46922516
141,229,70282,48.38106426,43.83532114,44.86256827,44.79200828,47.12903805
142,227,70736,48.02156672,43.50709957,44.51360485,44.44351078,46.51421808
143,225,71186,47.58360028,43.17430292,44.16101354,44.11338058,45.96770268
144,225,71636,47.37038928,43.08955415,43.9732915,43.95864151,46.60812356
145,221,72078,46.47332166,42.35673844,43.18122367,43.17753818,45.81117806
146,222,72522,46.64779395,42.60131007,43.36415642,43.3604258,46.02631376
147,221,72964,46.41796601,42.45505612,43.23573221,43.17820948,45.71303617
148,220,73404,45.86693065,42.30491431,43.22158323,43.09978328,45.50678852
149,218,73840,45.24559394,41.91738345,42.99191347,42.88130704,44.9638021
150,213,74266,44.34810418,40.90870052,42.01781824,41.97136733,43.75400973
151,213,74692,44.33100535,40.93010023,42.00914522,42.00392463,43.72582458
152,213,75118,44.36619324,40.95884729,42.0057117,42.02093365,43.64831413
153,227,75572,47.41991392,43.63356354,44.73544863,44.81696969,46.39410422
154,230,76032,48.22772718,44.24163956,45.3010591,45.37240086,46.8571733
155,230,76492,48.41328816,44.27679879,45.28239279,45.35409539,46.67342487
156,228,76948,48.20859836,43.96074926,44.85945486,44.95280371,46.01839381
157,229,77406,48.55275088,44.25437889,45.1036229,45.20881317,45.88043416
158,227,77860,48.28847313,44.03861341,44.86051825,44.91000181,44.9023934
159,225,78310,46.55136052,43.94295055,44.97603751,44.97161981,44.55803161
160,221,78752,44.98658047,43.41035759,44.626712,44.6004823,43.37586765
161,203,79158,42.01289436,39.92776425,41.12458991,41.07970131,38.85505017
162,198,79554,41.20317579,39.06709054,40.22629383,40.17239064,37.3310492
163,196,79946,39.8152421,38.89755935,39.85982494,39.83595737,37.59141624
164,194,80334,25.31497091,42.0160088,42.8298245,42.84683158,40.99236421
165,191,80716,2.446912479,47.01939953,47.7447139,47.85691329,45.9320608
166,183,81082,1.608185201,45.32956063,46.08381649,46.2179906,43.76044709
167,165,81412,1.683597319,52.29779601,30.07888251,30.59200858,50.34771558
168,149,81710,1.906510532,71.85465902,2.356880454,2.487478896,70.3944711
169,137,81984,2.093855305,23.62559053,1.941885724,1.755681502,107.5829869
170,128,82240,1.115576634,2.297275407,1.146782818,1.231516616,122.2088485
171,112,82464,0.771845352,1.032456298,0.876170675,0.976490018,108.3430377
172,84,82632,0.574632663,0.730222647,0.575560612,0.669595106,81.44998897
173,80,82792,0.542789052,0.689756925,0.507421207,0.632489095,77.62754372
174,72,82936,0.481611893,0.612015178,0.450230318,0.561201942,69.89494067
175,60,83056,0.383664349,0.504358903,0.371032742,0.449270121,58.29167388
176,46,83148,0.319194516,0.370262573,0.25976435,0.338734579,44.71204398
177,35,83218,1.114706633,1.149376879,0.837380043,1.051507015,30.84702943
178,24,83266,2.430678507,2.504448129,1.710802603,2.230898885,15.12317188
179,13,83292,2.179514591,2.13049941,1.511331366,1.897794849,5.280859783
180,12,83316,2.475528816,2.550659618,1.742369931,2.272062908,2.959378726
181,13,83342,2.359195622,2.810607623,2.363005385,2.650889646,2.816301723
182,14,83370,0,0,0,0,0
183,0,83370,0,0,0,0,0
184,0,83370,0,0,0,0,0
185,0,83370,0,0,0,0,0
186,0,83370,0,0,0,0,0
187,0,83370,0,0,0,0,0
188,0,83370,0,0,0,0,0
189,0,83370,0,0,0,0,0
190,0,83370,0,0,0,0,0
191,0,83370,0,0,0,0,0
192,0,83370,0,0,0,0,0
193,0,83370,0,0,0,0,0
194,0,83370,0,0,0,0,0
195,0,83370,0,0,0,0,0
196,0,83370,0,0,0,0,0
197,0,83370,0,0,0,0,0
198,0,83370,0,0,0,0,0
199,0,83370,0,0,0,0,0
200,0,83370,0,0,0,0,0
201,0,83370,0,0,0,0,0
