V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Coulombs,App_Amps,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,86,0,0,0,0,0,0,0,0,0,0,0,118,59,0,0,59,0,0,0,0,0,0,0,0,0,0,0
0,0,176,0,0,0,0,0,0,0,0,0,0,0,388,135,0,0,135,0,0,0,0,0,0,0,0,0,0,0
0,0,240,0,0,0,0,0,0,0,0,0,0,0,786,199,0,0,199,0,0,0,0,0,0,0,0,0,0,0
0,0,240,0,0,0,0,0,0,0,0,0,0,0,1202,208,0,0,208,0,0,0,0,0,0,0,0,0,0,0
0,0,240,0,0,0,0,0,0,0,0,0,0,0,1626,212,0,0,212,0,0,0,0,0,0,0,0,0,0,0
0,0,240,0,0,0,0,0,0,0,0,0,0,0,2052,213,0,0,213,0,0,0,0,0,0,0,0,0,0,0
0,0,240,0,0,0,0,0,0,0,0,0,0,0,2478,213,0,0,213,0,0,0,0,0,0,0,0,0,0,0
0,0,240,0,0,0,0,0,0,0,0,0,0,0,2930,226,0,0,226,0,0,0,0,0,0,0,0,0,0,0
0,0,240,0,0,0,0,0,0,0,0,0,0,0,3418,244,0,0,244,0,0,0,0,0,0,0,0,0,0,0
0,0,237,0,0,0,0,0,0,0,0,0,0,0,3928,255,0,0,255,0,0,0,0,0,0,0,0,0,0,0
0,0,233.75,0,0,0,0,0,0,0,0,0,0,0,4460,266,0,0,266,0,0,0,0,0,0,0,0,0,0,0
0,0,231,0,0,0,0,0,0,0,0,0,0,0,5014,277,0,0,277,0,0,0,0,0,0,0,0,0,0,0
0,0,229,0,0,0,0,0,0,0,0,0,15,0,5590,288,0,0,288,0,0,0,0,0,0,0,0,0,0,0
0,0,227.5,0,0,0,0,0,0,0,0,0,126,0,6186,298,0,0,298,0,0,0,0,0,0,0,0,0,0,0
0,0,228,0,0,0,0,0,0,0,0,0,254,0,6862,338,0,0,286,0,0,0,0,0,0,0,0,0,52,0
0,0,227.5,0,0,0,0,0,0,0,0,0,290,0,7584,361,0,0,290,0,0,0,0,0,0,0,0,0,71,0
0,0,227.5,49,0,0,0,0,0,0,0,0,290,0,8326,371,0,0,296,0,0,0,0,0,0,0,0,0,75,0
0,0,227.25,150,0,0,0,0,0,0,0,0,290,0,9090,382,0,0,302,0,0,0,0,0,0,0,0,0,80,0
0,0,227.75,243,0,0,0,0,0,0,0,0,290,0,9890,400,0,0,302,31,0,0,0,0,0,0,0,0,67,0
0,0,229.25,265,0,0,0,0,0,0,0,0,290,0,10732,421,0,0,302,68,0,0,0,0,0,0,0,0,51,0
