App_Amps,Coulombs
59,118
135,388
199,786
208,1202
212,1626
213,2052
213,2478
226,2930
244,3418
255,3928
266,4460
277,5014
288,5590
298,6186
338,6862
361,7584
371,8326
382,9090
400,9890
421,10732
435,11602
448,12498
457,13412
469,14350
477,15304
481,16266
482,17230
482,18194
477,19148
474,20096
467,21030
474,21978
470,22918
455,23828
450,24728
445,25618
443,26504
441,27386
418,28222
396,29014
400,29814
406,30626
412,31450
411,32272
406,33084
411,33906
405,34716
401,35518
391,36300
384,37068
381,37830
380,38590
381,39352
377,40106
375,40856
363,41582
359,42300
355,43010
348,43706
340,44386
334,45054
329,45712
348,46408
344,47096
353,47802
338,48478
332,49142
327,49796
320,50436
316,51068
314,51696
311,52318
307,52932
304,53540
304,54148
305,54758
304,55366
303,55972
302,56576
301,57178
299,57776
297,58370
271,58912
272,59456
273,60002
275,60552
273,61098
273,61644
272,62188
273,62734
270,63274
268,63810
266,64342
263,64868
263,65394
261,65916
260,66436
257,66950
257,67464
253,67970
257,68484
260,69004
258,69520
260,70040
260,70560
259,71078
257,71592
256,72104
254,72612
253,73118
248,73614
253,74120
246,74612
246,75104
246,75596
242,76080
241,76562
239,77040
238,77516
235,77986
233,78452
237,78926
234,79394
232,79858
233,80324
229,80782
228,81238
229,81696
225,82146
225,82596
222,83040
219,83478
218,83914
215,84344
215,84774
210,85194
201,85596
198,85992
193,86378
191,86760
187,87134
169,87472
153,87778
136,88050
126,88302
117,88536
105,88746
88,88922
80,89082
67,89216
50,89316
40,89396
29,89454
16,89486
11,89508
11,89530
11,89552
11,89574
6,89586
